gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p
Ntpcr,0.13677682600000002,0.003056217959752443,4,4,0.7515804298960805
Abhd13,0.29327944300000003,0.00305924223485752,4,4,0.7515804298960805
Phxr4,0.3199229137499999,0.003071615472676724,4,4,0.7515804298960805
1110004F10Rik,0.2448755075,0.0030968901208056725,4,4,0.7515804298960805
Loxhd1,-0.17824428037499998,0.003155436488884071,4,4,0.7515804298960805
Flrt2,0.30756731237500007,0.0031967988398304095,4,4,0.7515804298960805
Gm33969,-0.2189399,0.0033369594013865247,4,4,0.7515804298960805
Gm8663,0.09145957637499999,0.003344601031249822,4,4,0.7515804298960805
Slc16a10,0.38794749399999995,0.003373480596922792,4,4,0.7515804298960805
Notch4,0.24595479012499988,0.003375631288325427,4,4,0.7515804298960805
Rnu1b6,-0.7396668072500001,0.0033911305925438283,4,4,0.7515804298960805
Gm57479,-0.7396668072500001,0.0033911305925438283,4,4,0.7515804298960805
Gm22614,-0.7396668072500001,0.0033911305925438283,4,4,0.7515804298960805
Gm25890,-0.7396668072500001,0.0033911305925438283,4,4,0.7515804298960805
Gm24136,-0.7396668072500001,0.0033911305925438283,4,4,0.7515804298960805
Frmd4a,-0.12870917600000004,0.0034084903007008806,4,4,0.7515804298960805
Gm62415,0.24438078549999998,0.003450011756943961,4,4,0.7515804298960805
Gys2,0.20590666162500001,0.0034683117346770986,4,4,0.7515804298960805
4930449C09Rik,-0.08472210349999999,0.0034936241909283,4,4,0.7515804298960805
Or52r1,-0.170635828125,0.0035313290421839895,4,4,0.7515804298960805
Slc25a37,-0.28014360625000023,0.0035359442665647946,4,4,0.7515804298960805
Tek,0.34577050399999987,0.0035374792562857704,4,4,0.7515804298960805
Gm8267,-0.42136830174999984,0.00356792591828023,4,4,0.7515804298960805
Gm17184,-0.42136830174999984,0.00356792591828023,4,4,0.7515804298960805
Gm3371,-0.42136830174999984,0.00356792591828023,4,4,0.7515804298960805
