"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.38077675068728e-175,2.36765959148225,0.264,0.08,1.1338449066455e-170,"0","LINC01170"
3.50741073016016e-175,2.09317643807345,0.298,0.099,1.17631541068111e-170,"0","NDE1"
3.19584294588671e-174,2.00198958057611,0.408,0.181,1.07182180719148e-169,"0","LRP4"
1.02289667280356e-173,1.6888915011613,0.542,0.325,3.43059086124857e-169,"0","MYO1D"
2.58805167654441e-172,1.07470660557719,0.747,0.588,8.67980771279466e-168,"0","LIMCH1"
3.77568860964344e-170,0.648636591861005,0.965,0.846,1.26629044590222e-165,"0","DLG2"
1.42798721225181e-169,1.82176515661367,0.381,0.157,4.78918351245012e-165,"0","MEGF10"
1.58556293514067e-169,2.27852300881033,0.265,0.083,5.31766097187477e-165,"0","TTYH2"
4.93370851685745e-164,0.610836075157024,0.865,0.637,1.65466716238365e-159,"0","NPAS3"
2.09818004659741e-161,1.65134486235625,0.508,0.292,7.03687624027838e-157,"0","ST6GALNAC3"
1.80233953787499e-160,1.46123096202959,0.483,0.243,6.04468634212513e-156,"0","CHD7"
1.94248368723971e-160,1.23854322714254,0.646,0.457,6.51470179026452e-156,"0","SCD5"
2.76942650344027e-160,1.89426102383541,0.477,0.266,9.28810260723796e-156,"0","KCNMB4"
5.2566592785112e-157,1.3840016044865,0.45,0.215,1.76297838882709e-152,"0","MYO1E"
2.68920996772947e-156,2.07013307065903,0.451,0.248,9.01907238977111e-152,"0","LANCL1"
1.35925316881157e-154,0.774994424034946,0.924,0.82,4.55866327756024e-150,"0","CADM2"
2.28520210432504e-154,1.837279877884,0.409,0.194,7.66411081748531e-150,"0","CUEDC1"
7.39504264755236e-154,1.07531118735976,0.72,0.567,2.48014940313611e-149,"0","SPOCK1"
1.65630217566997e-153,1.78777273457762,0.509,0.31,5.55490623676196e-149,"0","AATK"
5.1256531549476e-153,1.43888450104707,0.397,0.173,1.71904155510633e-148,"0","CLIC4"
1.24320337839564e-151,2.163976394783,0.275,0.094,4.1694554904633e-147,"0","LINC00609"
2.45344833105104e-151,1.3032821642713,0.607,0.395,8.22837501267899e-147,"0","ANO4"
1.9453232434096e-150,2.37847527758409,0.293,0.109,6.52422509374711e-146,"0","KIF6"
1.21010522566729e-149,1.63380537362175,0.479,0.263,4.05845090584295e-145,"0","GRM3"
1.03574069182633e-148,1.72648846089339,0.411,0.198,3.47366713224714e-144,"0","GPRC5B"
